"Year (time)","Geographic Area Name (NAME)","Meaning of Survey Component (SVY_COMP_LABEL)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT)","Coefficent of Variation for Amount (percent) (AMOUNT_CV)"
"2023","Virginia","Annual Survey of State and Local Finance","LF0107","Expenditure - Direct Expenditure - General Expenditure - Education - Education - Current Operations","001","State and Local","29,725,379","1.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0108","Expenditure - Direct Expenditure - General Expenditure - Education - Education - Capital Outlay","001","State and Local","3,409,865","0.70"
"2023","Virginia","Annual Survey of State and Local Finance","LF0109","Expenditure - Direct Expenditure - General Expenditure - Education - Higher Education - Total Expenditure","001","State and Local","10,525,526","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0110","Expenditure - Direct Expenditure - General Expenditure - Education - Higher Education - Current Operations","001","State and Local","9,036,996","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0111","Expenditure - Direct Expenditure - General Expenditure - Education - Higher Education - Capital Outlay","001","State and Local","1,488,530","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0112","Expenditure - Direct Expenditure - General Expenditure - Education - Elementary & Secondary Education - Total Expenditures","001","State and Local","22,301,817","1.30"
"2023","Virginia","Annual Survey of State and Local Finance","LF0113","Expenditure - Direct Expenditure - General Expenditure - Education - Elementary & Secondary Education - Current Operations","001","State and Local","20,382,271","1.40"
"2023","Virginia","Annual Survey of State and Local Finance","LF0114","Expenditure - Direct Expenditure - General Expenditure - Education - Elementary & Secondary Education - Capital Outlay","001","State and Local","1,919,546","1.20"
"2023","Virginia","Annual Survey of State and Local Finance","LF0115","Expenditure - Direct Expenditure - General Expenditure - Education - Other Education - Total Expenditures","001","State and Local","1,904,823","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0116","Expenditure - Direct Expenditure - General Expenditure - Education - Other Education - Current Operations","001","State and Local","306,112","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0117","Expenditure - Direct Expenditure - General Expenditure - Education - Other Education - Capital Outlay","001","State and Local","1,789","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0118","Expenditure - Direct Expenditure - General Expenditure - Education - Scholarships & Other Subsidies","001","State and Local","1,596,922","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0119","Expenditure - Direct Expenditure - General Expenditure - Libraries - Total Expenditures","001","State and Local","484,272","0.60"
"2023","Virginia","Annual Survey of State and Local Finance","LF0120","Expenditure - Direct Expenditure - General Expenditure - Libraries - Current Operations","001","State and Local","450,794","0.60"
"2023","Virginia","Annual Survey of State and Local Finance","LF0121","Expenditure - Direct Expenditure - General Expenditure - Libraries - Capital Outlay","001","State and Local","33,478","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0122","Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Total Expenditure","001","State and Local","26,937,581","0.10"
"2023","Virginia","Annual Survey of State and Local Finance","LF0123","Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Current Operations","001","State and Local","26,927,984","0.10"
"2023","Virginia","Annual Survey of State and Local Finance","LF0124","Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Capital Outlay","001","State and Local","9,597","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0128","Expenditure - Direct Expenditure - General Expenditure - Hospitals - Total Expenditure","001","State and Local","7,018,548","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0129","Expenditure - Direct Expenditure - General Expenditure - Hospitals - Current Operations","001","State and Local","6,835,684","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0130","Expenditure - Direct Expenditure - General Expenditure - Hospitals - Capital Outlay","001","State and Local","182,864","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0131","Expenditure - Direct Expenditure - General Expenditure - Health - Total Expenditure","001","State and Local","3,816,391","1.30"
"2023","Virginia","Annual Survey of State and Local Finance","LF0132","Expenditure - Direct Expenditure - General Expenditure - Health - Current Operations","001","State and Local","3,760,939","1.30"
"2023","Virginia","Annual Survey of State and Local Finance","LF0133","Expenditure - Direct Expenditure - General Expenditure - Health - Capital Outlay","001","State and Local","55,451","2.70"
"2023","Virginia","Annual Survey of State and Local Finance","LF0134","Expenditure - Direct Expenditure - General Expenditure - Social Insurance Administration - Total Expenditure","001","State and Local","148,838","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0135","Expenditure - Direct Expenditure - General Expenditure - Social Insurance Administration - Current Operations","001","State and Local","148,716","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0136","Expenditure - Direct Expenditure - General Expenditure - Social Insurance Administration - Capital Outlay","001","State and Local","122","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0137","Expenditure - Direct Expenditure - General Expenditure - Veterans Services - Total Expenditures","001","State and Local","53,323","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0138","Expenditure - Direct Expenditure - General Expenditure - Veterans Services - Current Operations","001","State and Local","40,066","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0139","Expenditure - Direct Expenditure - General Expenditure - Veterans Services - Capital Outlay","001","State and Local","13,257","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0140","Expenditure - Direct Expenditure - General Expenditure - Highways - Total Expenditures","001","State and Local","7,945,192","0.20"
"2023","Virginia","Annual Survey of State and Local Finance","LF0141","Expenditure - Direct Expenditure - General Expenditure - Highways - Current Operations","001","State and Local","2,831,460","0.50"
"2023","Virginia","Annual Survey of State and Local Finance","LF0142","Expenditure - Direct Expenditure - General Expenditure - Highways - Capital Outlay","001","State and Local","5,113,732","0.10"
"2023","Virginia","Annual Survey of State and Local Finance","LF0143","Expenditure - Direct Expenditure - General Expenditure - Air Transportation (Airports) - Total Expenditures","001","State and Local","760,885","1.30"
"2023","Virginia","Annual Survey of State and Local Finance","LF0144","Expenditure - Direct Expenditure - General Expenditure - Air Transportation (Airports) - Current Operations","001","State and Local","567,204","1.70"
"2023","Virginia","Annual Survey of State and Local Finance","LF0145","Expenditure - Direct Expenditure - General Expenditure - Air Transportation (Airports) - Capital Outlay","001","State and Local","193,681","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0146","Expenditure - Direct Expenditure - General Expenditure - Parking Facilities - Total Expenditure","001","State and Local","48,718","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0147","Expenditure - Direct Expenditure - General Expenditure - Parking Facilities - Current Operations","001","State and Local","38,740","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0148","Expenditure - Direct Expenditure - General Expenditure - Parking Facilities - Capital Outlay","001","State and Local","9,978","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0149","Expenditure - Direct Expenditure - General Expenditure - Sea and Inland Port Facilities - Total Expenditure","001","State and Local","691,799","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0150","Expenditure - Direct Expenditure - General Expenditure - Sea and Inland Port Facilities - Current Operations","001","State and Local","449,477","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0151","Expenditure - Direct Expenditure - General Expenditure - Sea and Inland Port Facilities - Capital Outlay","001","State and Local","242,322","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0152","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Total Expenditure","001","State and Local","3,588,405","1.10"
"2023","Virginia","Annual Survey of State and Local Finance","LF0153","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","001","State and Local","3,399,382","1.20"
"2023","Virginia","Annual Survey of State and Local Finance","LF0154","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay","001","State and Local","189,023","0.30"
"2023","Virginia","Annual Survey of State and Local Finance","LF0155","Expenditure - Direct Expenditure - General Expenditure - Fire Protection - Total Expenditure","001","State and Local","2,356,338","1.20"
"2023","Virginia","Annual Survey of State and Local Finance","LF0156","Expenditure - Direct Expenditure - General Expenditure - Fire Protection - Current Operations","001","State and Local","2,255,167","1.20"
"2023","Virginia","Annual Survey of State and Local Finance","LF0157","Expenditure - Direct Expenditure - General Expenditure - Fire Protection - Capital Outlay","001","State and Local","101,171","3.90"
"2023","Virginia","Annual Survey of State and Local Finance","LF0158","Expenditure - Direct Expenditure - General Expenditure - Correction - Total Expenditure","001","State and Local","3,693,687","1.50"
"2023","Virginia","Annual Survey of State and Local Finance","LF0159","Expenditure - Direct Expenditure - General Expenditure - Correction - Current Operations","001","State and Local","3,624,527","1.50"
"2023","Virginia","Annual Survey of State and Local Finance","LF0160","Expenditure - Direct Expenditure - General Expenditure - Correction - Capital Outlay","001","State and Local","69,160","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0161","Expenditure - Direct Expenditure - General Expenditure - Protective Inspection & Regulation - Total Expenditure","001","State and Local","446,250","0.30"
"2023","Virginia","Annual Survey of State and Local Finance","LF0162","Expenditure - Direct Expenditure - General Expenditure - Protective Inspection & Regulation - Current Operations","001","State and Local","443,373","0.30"
"2023","Virginia","Annual Survey of State and Local Finance","LF0163","Expenditure - Direct Expenditure - General Expenditure - Protective Inspection & Regulation - Capital Outlay","001","State and Local","2,876","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0164","Expenditure - Direct Expenditure - General Expenditure - Natural Resources - Total Expenditure","001","State and Local","458,774","1.90"
"2023","Virginia","Annual Survey of State and Local Finance","LF0165","Expenditure - Direct Expenditure - General Expenditure - Natural Resources - Current Operations","001","State and Local","392,349","2.20"
"2023","Virginia","Annual Survey of State and Local Finance","LF0166","Expenditure - Direct Expenditure - General Expenditure - Natural Resources - Capital Outlay","001","State and Local","66,425","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0167","Expenditure - Direct Expenditure - General Expenditure - Parks and Recreation - Total Expenditure","001","State and Local","1,475,566","0.50"
"2023","Virginia","Annual Survey of State and Local Finance","LF0168","Expenditure - Direct Expenditure - General Expenditure - Parks and Recreation - Current Operations","001","State and Local","1,180,186","0.60"
"2023","Virginia","Annual Survey of State and Local Finance","LF0169","Expenditure - Direct Expenditure - General Expenditure - Parks and Recreation - Capital Outlay","001","State and Local","295,380","0.20"
"2023","Virginia","Annual Survey of State and Local Finance","LF0170","Expenditure - Direct Expenditure - General Expenditure - Housing and Community Development - Total Expenditure","001","State and Local","1,694,509","1.60"
"2023","Virginia","Annual Survey of State and Local Finance","LF0171","Expenditure - Direct Expenditure - General Expenditure - Housing and Community Development - Current Operations","001","State and Local","1,597,996","1.70"
"2023","Virginia","Annual Survey of State and Local Finance","LF0172","Expenditure - Direct Expenditure - General Expenditure - Housing and Community Development - Capital Outlay","001","State and Local","96,513","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0173","Expenditure - Direct Expenditure - General Expenditure - Sewerage - Total Expenditure","001","State and Local","2,436,542","0.70"
"2023","Virginia","Annual Survey of State and Local Finance","LF0174","Expenditure - Direct Expenditure - General Expenditure - Sewerage - Current Operations","001","State and Local","1,329,779","1.20"
"2023","Virginia","Annual Survey of State and Local Finance","LF0175","Expenditure - Direct Expenditure - General Expenditure - Sewerage - Capital Outlay","001","State and Local","1,106,763","0.30"
"2023","Virginia","Annual Survey of State and Local Finance","LF0176","Expenditure - Direct Expenditure - General Expenditure - Solid Waste Management - Total Expenditure","001","State and Local","956,977","1.90"
"2023","Virginia","Annual Survey of State and Local Finance","LF0177","Expenditure - Direct Expenditure - General Expenditure - Solid Waste Management - Current Operations","001","State and Local","902,814","2.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0178","Expenditure - Direct Expenditure - General Expenditure - Solid Waste Management - Capital Outlay","001","State and Local","54,163","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0179","Expenditure - Direct Expenditure - General Expenditure - Financial Administration - Total Expenditure","001","State and Local","1,835,769","0.30"
"2023","Virginia","Annual Survey of State and Local Finance","LF0180","Expenditure - Direct Expenditure - General Expenditure - Financial Administration - Current Operations","001","State and Local","1,781,990","0.30"
"2023","Virginia","Annual Survey of State and Local Finance","LF0181","Expenditure - Direct Expenditure - General Expenditure - Financial Administration - Capital Outlay","001","State and Local","53,780","0.70"
"2023","Virginia","Annual Survey of State and Local Finance","LF0182","Expenditure - Direct Expenditure - General Expenditure - Judicial and Legal - Total Expenditure","001","State and Local","1,225,783","0.90"
"2023","Virginia","Annual Survey of State and Local Finance","LF0183","Expenditure - Direct Expenditure - General Expenditure - Judicial and Legal - Current Operations","001","State and Local","1,182,594","0.90"
"2023","Virginia","Annual Survey of State and Local Finance","LF0184","Expenditure - Direct Expenditure - General Expenditure - Judicial and Legal - Capital Outlay","001","State and Local","43,189","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0185","Expenditure - Direct Expenditure - General Expenditure - General Public Buildings - Total Expenditure","001","State and Local","1,232,289","0.70"
"2023","Virginia","Annual Survey of State and Local Finance","LF0186","Expenditure - Direct Expenditure - General Expenditure - General Public Buildings - Current Operations","001","State and Local","874,955","1.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0187","Expenditure - Direct Expenditure - General Expenditure - General Public Buildings - Capital Outlay","001","State and Local","357,334","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0188","Expenditure - Direct Expenditure - General Expenditure - Other Governmental Administration - Total Expenditure","001","State and Local","691,667","1.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0189","Expenditure - Direct Expenditure - General Expenditure - Other Governmental Administration - Current Operations","001","State and Local","619,111","1.10"
"2023","Virginia","Annual Survey of State and Local Finance","LF0190","Expenditure - Direct Expenditure - General Expenditure - Other Governmental Administration - Capital Outlay","001","State and Local","72,557","0.30"
"2023","Virginia","Annual Survey of State and Local Finance","LF0191","Expenditure - Direct Expenditure - General Expenditure - Interest on General Debt","001","State and Local","2,607,406","0.50"
"2023","Virginia","Annual Survey of State and Local Finance","LF0192","Expenditure - Direct Expenditure - General Expenditure - Miscellaneous Commercial Activities - Total Expenditures","001","State and Local","29,837","0.10"
"2023","Virginia","Annual Survey of State and Local Finance","LF0193","Expenditure - Direct Expenditure - General Expenditure - Miscellaneous Commercial Activities - Current Operations","001","State and Local","12,175","0.20"
"2023","Virginia","Annual Survey of State and Local Finance","LF0194","Expenditure - Direct Expenditure - General Expenditure - Miscellaneous Commercial Activities - Capital Outlay","001","State and Local","17,662","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0195","Expenditure - Direct Expenditure - General Expenditure - Other and Unallocable - Total Expenditures","001","State and Local","4,375,100","1.60"
"2023","Virginia","Annual Survey of State and Local Finance","LF0196","Expenditure - Direct Expenditure - General Expenditure - Other and Unallocable - Current Operations","001","State and Local","2,879,501","1.10"
"2023","Virginia","Annual Survey of State and Local Finance","LF0197","Expenditure - Direct Expenditure - General Expenditure - Other and Unallocable - Capital Outlay","001","State and Local","1,495,599","4.10"
"2023","Virginia","Annual Survey of State and Local Finance","LF0198","Expenditure - Direct Expenditure - Utility Expenditure - Total Expenditure","001","State and Local","3,693,977","0.30"
"2023","Virginia","Annual Survey of State and Local Finance","LF0199","Expenditure - Direct Expenditure - Utility Expenditure - Current Operations","001","State and Local","2,592,698","0.50"
"2023","Virginia","Annual Survey of State and Local Finance","LF0200","Expenditure - Direct Expenditure - Utility Expenditure - Capital Outlay","001","State and Local","958,111","0.30"
"2023","Virginia","Annual Survey of State and Local Finance","LF0201","Expenditure - Direct Expenditure - Utility Expenditure - Interest on Debt","001","State and Local","143,169","1.30"
"2023","Virginia","Annual Survey of State and Local Finance","LF0202","Expenditure - Direct Expenditure - Utility Expenditure - Water Supply - Total Expenditure","001","State and Local","1,480,752","0.90"
"2023","Virginia","Annual Survey of State and Local Finance","LF0203","Expenditure - Direct Expenditure - Utility Expenditure - Water Supply - Current Operations","001","State and Local","903,496","1.40"
"2023","Virginia","Annual Survey of State and Local Finance","LF0204","Expenditure - Direct Expenditure - Utility Expenditure - Water Supply - Capital Outlay","001","State and Local","470,370","0.70"
"2023","Virginia","Annual Survey of State and Local Finance","LF0205","Expenditure - Direct Expenditure - Utility Expenditure - Water Supply - Interest on Debt","001","State and Local","106,886","1.70"
"2023","Virginia","Annual Survey of State and Local Finance","LF0206","Expenditure - Direct Expenditure - Utility Expenditure - Electric Power - Total Expenditure","001","State and Local","464,301","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0207","Expenditure - Direct Expenditure - Utility Expenditure - Electric Power - Current Operations","001","State and Local","427,359","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0208","Expenditure - Direct Expenditure - Utility Expenditure - Electric Power - Capital Outlay","001","State and Local","34,281","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0209","Expenditure - Direct Expenditure - Utility Expenditure - Electric Power - Interest on Debt","001","State and Local","2,661","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0210","Expenditure - Direct Expenditure - Utility Expenditure - Gas Supply - Total Expenditure","001","State and Local","269,088","0.20"
"2023","Virginia","Annual Survey of State and Local Finance","LF0211","Expenditure - Direct Expenditure - Utility Expenditure - Gas Supply - Current Operations","001","State and Local","229,490","0.20"
"2023","Virginia","Annual Survey of State and Local Finance","LF0212","Expenditure - Direct Expenditure - Utility Expenditure - Gas Supply - Capital Outlay","001","State and Local","30,262","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0213","Expenditure - Direct Expenditure - Utility Expenditure - Gas Supply - Interest on Debt","001","State and Local","9,336","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0214","Expenditure - Direct Expenditure - Utility Expenditure - Transit - Total Expenditure","001","State and Local","1,479,836","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0215","Expenditure - Direct Expenditure - Utility Expenditure - Transit - Current Operations","001","State and Local","1,032,352","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0216","Expenditure - Direct Expenditure - Utility Expenditure - Transit - Capital Outlay","001","State and Local","423,198","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0217","Expenditure - Direct Expenditure - Utility Expenditure - Transit - Interest on Debt","001","State and Local","24,286","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0218","Expenditure - Direct Expenditure - Liquor Stores - Total Expenditure","001","State and Local","982,154","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0219","Expenditure - Direct Expenditure - Liquor Stores - Current Operations","001","State and Local","977,899","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0220","Expenditure - Direct Expenditure - Liquor Stores - Capital Outlay","001","State and Local","4,255","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0221","Insurance Trust Expenditure - Total Expenditure","001","State and Local","8,127,512","0.20"
"2023","Virginia","Annual Survey of State and Local Finance","LF0222","Insurance Trust Expenditure - Unemployment Compensation - Total Expenditure","001","State and Local","199,022","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0223","Insurance Trust Expenditure - Unemployment Compensation - Benefit Payments","001","State and Local","197,805","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0224","Insurance Trust Expenditure - Unemployment Compensation - Withdrawals","001","State and Local","1,217","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0225","Insurance Trust Expenditure - Employee Retirement - Total Expenditure","001","State and Local","7,923,253","0.20"
"2023","Virginia","Annual Survey of State and Local Finance","LF0226","Insurance Trust Expenditure - Employee Retirement - Benefit Payments","001","State and Local","7,772,238","0.20"
"2023","Virginia","Annual Survey of State and Local Finance","LF0227","Insurance Trust Expenditure - Employee Retirement - Withdrawals","001","State and Local","151,015","0.30"
"2023","Virginia","Annual Survey of State and Local Finance","LF0228","Insurance Trust Expenditure - Workers Compensation","001","State and Local","5,237","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0230","Debt - Total Debt Outstanding","001","State and Local","79,966,270","0.60"
"2023","Virginia","Annual Survey of State and Local Finance","LF0231","Debt - Short-term Debt Outstanding","001","State and Local","343,407","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0232","Debt - Long-term Debt Outstanding","001","State and Local","79,622,863","0.60"
"2023","Virginia","Annual Survey of State and Local Finance","LF0234","Debt - Long-term Debt Issued","001","State and Local","5,677,618","1.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0235","Debt - Long-term Debt Retired","001","State and Local","4,791,570","0.40"
"2023","Virginia","Annual Survey of State and Local Finance","LF0236","Cash and Security Holdings - Total","001","State and Local","131,266,534","0.10"
"2023","Virginia","Annual Survey of State and Local Finance","LF0237","Cash and Security Holdings - Insurance Trust Funds","001","State and Local","131,266,534","0.10"
"2023","Virginia","Annual Survey of State and Local Finance","LF0238","Cash and Security Holdings - Insurance Trust Funds - Unemployment Compensation","001","State and Local","3,236,276","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0239","Cash and Security Holdings - Insurance Trust Funds - Unemployment Compensation - Held in US Treasury Accounts","001","State and Local","1,618,138","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0240","Cash and Security Holdings - Insurance Trust Funds - Unemployment Compensation - Other Clearing & Benefit Accounts","001","State and Local","1,618,138","0.00"
"2023","Virginia","Annual Survey of State and Local Finance","LF0241","Cash and Security Holdings - Insurance Trust Funds - Employee Retirement","001","State and Local","128,026,324","0.10"
"2023","Virginia","Annual Survey of State and Local Finance","LF0242","Cash and Security Holdings - Insurance Trust Funds - Workers Compensation","001","State and Local","3,934","0.00"
"2023","Washington","Annual Survey of State and Local Finance","LF0001","Revenue - Total Revenue","001","State and Local","126,397,659","0.80"
"2023","Washington","Annual Survey of State and Local Finance","LF0002","Revenue - Total General Revenue","001","State and Local","117,431,015","0.90"
"2023","Washington","Annual Survey of State and Local Finance","LF0003","Revenue - General Revenue - Total Intergovernmental","001","State and Local","28,049,139","0.30"
"2023","Washington","Annual Survey of State and Local Finance","LF0004","Revenue - General Revenue - Intergovernmental - From Federal Government","001","State and Local","28,049,139","0.30"
"2023","Washington","Annual Survey of State and Local Finance","LF0007","Revenue - General Revenue - Total From Own Sources","001","State and Local","89,381,876","1.10"
"2023","Washington","Annual Survey of State and Local Finance","LF0008","Revenue - General Revenue - From Own Sources - Total Taxes","001","State and Local","60,606,626","0.40"
"2023","Washington","Annual Survey of State and Local Finance","LF0009","Revenue - General Revenue - From Own Sources - Taxes - Property","001","State and Local","15,753,361","1.40"
"2023","Washington","Annual Survey of State and Local Finance","LF0010","Revenue - General Revenue - From Own Sources - Taxes - Total Sales & Gross Receipts","001","State and Local","37,382,004","0.40"
"2023","Washington","Annual Survey of State and Local Finance","LF0011","Revenue - General Revenue - From Own Sources - Taxes - General Sales","001","State and Local","29,866,568","0.40"
"2023","Washington","Annual Survey of State and Local Finance","LF0012","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Total Selective Sales","001","State and Local","7,515,436","0.90"
"2023","Washington","Annual Survey of State and Local Finance","LF0013","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Amusement","001","State and Local","91,770","3.80"
"2023","Washington","Annual Survey of State and Local Finance","LF0014","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Insurance Premiums","001","State and Local","847,086","0.00"
"2023","Washington","Annual Survey of State and Local Finance","LF0015","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Motor Fuels","001","State and Local","1,567,863","0.00"
"2023","Washington","Annual Survey of State and Local Finance","LF0016","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Alcoholic Beverages","001","State and Local","490,367","0.00"
"2023","Washington","Annual Survey of State and Local Finance","LF0017","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Tobacco Products","001","State and Local","329,320","0.00"
"2023","Washington","Annual Survey of State and Local Finance","LF0019","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Public Utilities Sales","001","State and Local","1,827,589","3.80"
"2023","Washington","Annual Survey of State and Local Finance","LF0020","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Other","001","State and Local","2,361,441","0.40"
"2023","Washington","Annual Survey of State and Local Finance","LF0021","Revenue - General Revenue - From Own Sources - Taxes - Total Income Taxes","001","State and Local","846,835","0.00"
"2023","Washington","Annual Survey of State and Local Finance","LF0022","Revenue - General Revenue - From Own Sources - Taxes - Income Taxes - Individual","001","State and Local","846,835","0.00"
"2023","Washington","Annual Survey of State and Local Finance","LF0024","Revenue - General Revenue - From Own Sources - Taxes - Alcoholic Beverages License","001","State and Local","205,502","0.00"
"2023","Washington","Annual Survey of State and Local Finance","LF0025","Revenue - General Revenue - From Own Sources - Taxes - Amusement License","001","State and Local","16,955","0.10"
"2023","Washington","Annual Survey of State and Local Finance","LF0026","Revenue - General Revenue - From Own Sources - Taxes - Corporation General License","001","State and Local","56,374","0.00"
"2023","Washington","Annual Survey of State and Local Finance","LF0027","Revenue - General Revenue - From Own Sources - Taxes - Hunting and Fishing License","001","State and Local","44,685","0.00"
"2023","Washington","Annual Survey of State and Local Finance","LF0028","Revenue - General Revenue - From Own Sources - Taxes - Motor Vehicle License","001","State and Local","1,117,006","0.20"
"2023","Washington","Annual Survey of State and Local Finance","LF0029","Revenue - General Revenue - From Own Sources - Taxes - Motor Vehicle Operator License","001","State and Local","142,865","0.00"
"2023","Washington","Annual Survey of State and Local Finance","LF0030","Revenue - General Revenue - From Own Sources - Taxes - Public Utility License","001","State and Local","40,332","0.00"
"2023","Washington","Annual Survey of State and Local Finance","LF0031","Revenue - General Revenue - From Own Sources - Taxes - Occupation & Business License, NEC","001","State and Local","817,476","1.10"
"2023","Washington","Annual Survey of State and Local Finance","LF0032","Revenue - General Revenue - From Own Sources - Taxes - Other License","001","State and Local","782,388","3.20"
"2023","Washington","Annual Survey of State and Local Finance","LF0033","Revenue - General Revenue - From Own Sources - Total Other Taxes","001","State and Local","3,400,842","0.70"
"2023","Washington","Annual Survey of State and Local Finance","LF0034","Revenue - General Revenue - From Own Sources - Taxes - Other Taxes - Death and Gift Taxes","001","State and Local","853,634","0.00"
"2023","Washington","Annual Survey of State and Local Finance","LF0035","Revenue - General Revenue - From Own Sources - Taxes - Other Taxes - Documentary & Stock Transfer","001","State and Local","1,987,494","1.20"
"2023","Washington","Annual Survey of State and Local Finance","LF0036","Revenue - General Revenue - From Own Sources - Taxes - Other Taxes - Severance Taxes","001","State and Local","59,759","1.70"
"2023","Washington","Annual Survey of State and Local Finance","LF0037","Revenue - General Revenue - From Own Sources - Taxes - Other Taxes - Taxes NEC","001","State and Local","499,955","0.30"
"2023","Washington","Annual Survey of State and Local Finance","LF0039","Revenue - General Revenue - From Own Sources - Total Current Charges & Miscellaneous Revenue","001","State and Local","28,775,250","3.30"
"2023","Washington","Annual Survey of State and Local Finance","LF0040","Revenue - General Revenue - From Own Sources - Total Current Charges","001","State and Local","21,769,400","4.40"
"2023","Washington","Annual Survey of State and Local Finance","LF0041","Revenue - General Revenue - From Own Sources - Current Charges - Total Education","001","State and Local","3,832,047","0.00"
"2023","Washington","Annual Survey of State and Local Finance","LF0042","Revenue - General Revenue - From Own Sources - Current Charges - Education- Institutes of Higher Education","001","State and Local","3,526,611","0.00"
"2023","Washington","Annual Survey of State and Local Finance","LF0043","Revenue - General Revenue - From Own Sources - Current Charges - Education - School Lunch Sales (Gross)","001","State and Local","75,801","0.00"
"2023","Washington","Annual Survey of State and Local Finance","LF0044","Revenue - General Revenue - From Own Sources - Current Charges - Education - Elementary & Secondary School Tuition","001","State and Local","57,657","0.00"
